tile_id,province_id,biome,latitude,longitude
833ca8fffffffff,IND-3256,Forest_Cell,23.57943645317862,85.75944881931518
838f6efffffffff,WHOLE_PE,Forest_Cell,-5.601443023587615,-74.16038237721975
83311afffffffff,CHN-1838,Forest_Cell,41.69632811090826,119.26245486654207
837a62fffffffff,WHOLE_KE,Plains_Cell,-1.5963238305090135,38.79768777224324
83a2a4fffffffff,WHOLE_MG,Desert_Cell,-23.328733398606527,44.563608813781464
830d5afffffffff,USA-3563,Forest_Cell,64.39187555307062,-148.1988993957893
835944fffffffff,WHOLE_DZ,Desert_Cell,21.937436583804807,9.073250549500775
833e4efffffffff,WHOLE_EG,Desert_Cell,26.347735145437852,34.0898725806073
833d31fffffffff,IND-20012,Mountain_Cell,33.480954787880556,76.76959696877607
83eeb1fffffffff,WHOLE_AQ,Glacial_Cell,-72.10021832265163,-6.179452682824927
838ae1fffffffff,BRA-592,Forest_Cell,-2.0759839849364727,-64.33941264937758
835812fffffffff,WHOLE_NG,Plains_Cell,11.32424923178568,4.004268318810384
831f59fffffffff,WHOLE_BY,Forest_Cell,52.09612831356832,27.08130392935751
8324e0fffffffff,CHN-1838,Desert_Cell,41.574732804752834,105.89056037171862
83f0f6fffffffff,WHOLE_AQ,Glacial_Cell,-73.55619935598381,70.15377314255939
830b12fffffffff,RUS-2167,Forest_Cell,59.02705767372655,78.63051244972054
83249bfffffffff,CHN-1151,Mountain_Cell,34.42488144580037,99.371777986796
8360a5fffffffff,IND-2441,Desert_Cell,14.771171051461858,77.60380680431419
8360b1fffffffff,IND-20011,Forest_Cell,18.0563321440009,78.29268093453184
83962dfffffffff,WHOLE_ZM,Plains_Cell,-16.11950647435031,25.7909796598088
83c2dcfffffffff,WHOLE_UY,Plains_Cell,-32.171892774479495,-56.29290093514761
83078afffffffff,WHOLE_GL,Glacial_Cell,75.37145897093725,-35.19283881706907
83f2c1fffffffff,WHOLE_AQ,Glacial_Cell,-78.77603244035042,-97.86641407596444
832c8efffffffff,WHOLE_IR,Forest_Cell,32.65191495904856,48.85527888187155
830373fffffffff,CAN-634,Ice_Cell,82.83300522661388,-68.34160012033998
